metric,dynamic,best_static,delta_dynamic_minus_static,directional_gain,win,lower_is_better
order_ret_excel,0.0058926521894338,0.0054228011013645,0.0004698510880693004,0.0004698510880693004,True,False
order_ret_excel_cvar05,0.00293583746451178,0.0005523221574362,0.00238351530707558,0.00238351530707558,True,False
order_ret_excel_p05,0.00293583746451178,0.0005523221574362,0.00238351530707558,0.00238351530707558,True,False
order_ret_excel_p50,0.0067191786126575,0.00653600607597945,0.00018317253667805063,0.00018317253667805063,True,False
order_level_ret_mean,0.0056660208639699,0.0052100237030035,0.0004559971609663996,0.0004559971609663996,True,False
order_CTj_p99,1222.4891261889436,8327.439581045446,-7104.950454856503,7104.950454856503,True,True
order_RPj_p99,336.0,2130.387817649639,-1794.3878176496391,1794.3878176496391,True,True
order_DPj_p99,1222.0552226714688,8303.119645485725,-7081.064422814256,7081.064422814256,True,True
order_service_loss_auc_per_order,113169.94034865825,1166828.1068109646,-1053658.1664623064,1053658.1664623064,True,True
order_backorder_qty_final,309.36316666666664,18935.890333333336,-18626.52716666667,18626.52716666667,True,True
order_lost_rate,0.0,0.0,0.0,-0.0,False,True
flow_fill_rate,0.9613204626333758,0.6420428666366049,0.31927759599677086,0.31927759599677086,True,False
terminal_rolling_fill_rate_4w,0.9960367242495218,0.8590821693340936,0.13695455491542818,0.13695455491542818,True,False
ret_garrido2024_sigmoid_mean,0.9385255968544496,0.8153847067060482,0.12314089014840135,0.12314089014840135,True,False
assembly_cost_index,0.6820512820512821,1.0,-0.31794871794871793,0.31794871794871793,True,True
op10_multiplier_step_mean,1.302411559552778,2.0,-0.6975884404472219,-0.6975884404472219,False,False
op12_multiplier_step_mean,1.274169050206099,2.0,-0.7258309497939011,-0.7258309497939011,False,False
op10_multiplier_step_p95,1.9587210089340803,2.0,-0.0412789910659197,-0.0412789910659197,False,False
op12_multiplier_step_p95,1.8118378443457184,2.0,-0.18816215565428163,-0.18816215565428163,False,False
pct_steps_S1,29.71153846153846,0.0,29.71153846153846,29.71153846153846,True,False
pct_steps_S2,35.96153846153847,0.0,35.96153846153847,35.96153846153847,True,False
pct_steps_S3,34.32692307692308,100.0,-65.67307692307692,-65.67307692307692,False,False
