cfi,family,garrido_ret_raw,garrido_ret_clipped,garrido_n_visible,our_ret_raw,our_ret_clipped,our_n_visible,ret_rel_gap_pct,seed_spread_raw,n_seeds
1,R1r,0.00609,0.00609,4241,0.006542,0.006542,4429.7,7.4,0.000414,3
2,R1r,0.005843,0.005842,4420,0.005177,0.005177,4514,-11.4,5e-05,3
3,R1r,0.006653,0.006653,2151,0.006361,0.006361,2138,-4.4,0.000113,3
4,R1r,0.005326,0.005326,2186,0.005997,0.005997,2180.7,12.6,0.001291,3
5,R1r,0.008693,0.008692,2279,0.005196,0.005196,2241.7,-40.2,7.8e-05,3
6,R1r,0.005775,0.005774,2061,0.006351,0.006351,2147.3,10.0,6.9e-05,3
7,R1r,0.006009,0.006009,2115,0.006351,0.006351,2147.3,5.7,6.9e-05,3
8,R1r,0.007486,0.007485,2278,0.005535,0.005535,2181.7,-26.1,0.001388,3
9,R1r,0.005164,0.005164,2061,0.006545,0.006545,2200.7,26.8,0.000517,3
10,R1r,0.005785,0.005785,2061,0.006563,0.006563,2202,13.5,0.000463,3
11,R2r,0.17978,0.17852,2165,0.123552,0.123552,1921.3,-31.3,0.004673,3
12,R2r,0.395142,0.319814,2186,0.332674,0.332674,2036,-15.8,0.022436,3
13,R2r,0.141841,0.141841,1956,0.14212,0.14212,1935.3,0.2,0.018362,3
14,R2r,0.172647,0.168866,2173,0.27763,0.27763,2055.3,60.8,0.030171,3
15,R2r,0.190503,0.188117,2203,0.15449,0.15449,2035.7,-18.9,0.013692,3
16,R2r,0.234931,0.232466,2218,0.36456,0.36456,2142,55.2,0.014617,3
17,R2r,0.178575,0.178575,2227,0.312613,0.312613,2145,75.1,0.018778,3
18,R2r,0.260443,0.260275,2277,0.333473,0.333473,2141.7,28.0,0.010191,3
19,R2r,0.137822,0.137797,2120,0.165986,0.165986,2027.7,20.4,0.009723,3
20,R2r,0.115733,0.115714,2168,0.121174,0.121174,1936,4.7,0.018363,3
